university,program_name,program_code,degree_level,course_name,course_name_original,course_code,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,language
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ֆրանսերեն-1,,1608,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Չինարեն-1,,1205,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Թուրքերեն-1,,1803,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գերմաներեն-1,,1604,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Անգլերեն-1,,1602,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ռուսաց լեզու-1,,1705,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հայոց լեզու և խոսքի մշակույթ-2,,1401,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Բարոյագիտության հիմունքներ,,1302,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Բնագիտության ժամանակակից հայեցակարգեր,,0604,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գործարարության հիմունքներ,,1005,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Իրավունքի հիմունքներ,,1901,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Կիրառական վիճակագրություն,,0105,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Կրոնագիտության հիմունքներ,,2101,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հաղորդակցման հմտություններ,,1306,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Հոգեբանության հիմունքներ,,1308,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Անգլերեն-3,,1602,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Մշակութաբանության հիմունքներ,,1107,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Ռուսաց լեզու-3,,1705,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Սոցիոլոգիայի հիմունքներ,,2203,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Տնտեսագիտության հիմունքներ,,1007,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Տրամաբանության հիմունքներ,,1311,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Քաղաքագիտության հիմունքներ,,1207,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Բարոյագիտության հիմունքներ,,1302,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Բնագիտության ժամանակակից հայեցակարգեր,,0604,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Գործարարության հիմունքներ,,1005,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,Իրավունքի հիմունքներ,,1901,2.0,General,,,,,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian
