method,university,program_name,degree_level,role_groups,gap_concept
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/d8829a1d-dbde-435b-b921-29d6462f35c9
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/3c209873-c757-47bb-91b5-9b6dc05df116
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/51317990-9672-4635-bd76-7882718af136
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/16f61a5b-23ba-4268-8517-82c77c4041a1
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/1d86f05e-e9cc-40ce-99d8-2b21cc71b16b
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/d329b1ed-6e7a-400e-bca2-7c1936fbfbcb
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/cc9b4fbb-65f1-4c92-9229-1392d03b6e20
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/66d47084-9437-48b2-819b-c4c8214ed650
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/334e3e49-fb02-4051-809a-f06adfdc1c40
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/be727774-46d7-43d7-aee9-1a51b5cd8c71
tfidf,American University of Armenia,Data Science,Bachelor,Data / ML / AI,http://data.europa.eu/esco/skill/e6ee5bb8-12b9-4e60-8baf-102d0c4f1da5
