original,canonical,original_freq,canonical_freq
Systems Digital Business,Digital Business,7,36
Systems Informatics,Distributed Systems Informatics,1,1
Systems Informatics Operating,Informatics Operating,1,1
Systems Information Systems,Information Systems,1,146
Systems Software Development,Systems Development,1,13
Technologies,Technology,2,58
Technologies In,Technologies In The,1,5
Technologies Python,Programming Technologies Python,2,2
Technologies Python In,Programming Technologies Python,2,2
Technology In Business,Business Technology,1,3
Technology Informatics,Informatics,8,149
Technology Informatics Informatics,Informatics,1,149
Technology Informatics Management,Informatics Management Systems,2,2
Telecommunications Networks,Telecommunications,1,46
Telecommunications Networks In,Telecommunications,1,46
Telecommunications Systems,Telecommunications,5,46
Testing Software Development,Software Testing,1,133
Testing Test Automation,Test Automation,1,79
The Applied Statistics,Applied Statistics,3,18
The Informatics,Informatics,10,149
The Informatics Bachelor,Informatics Bachelor,22,23
The Informatics Master,Informatics,6,149
The Information Systems,Information Systems,6,146
Theory Informatics,Informatics,1,149
Theory Informatics And,Theoretical Informatics,1,4
This 3D Graphics,3D Graphics,1,8
This Business Analysis,Business Analysis,1,15
This Cloud Technologies,Cloud Technologies,1,5
This Computer Architecture,Computer Architecture,1,94
This Computer Networks,Computer Networks In,1,1
This Database Management,Database Management,1,76
This Digital Business,Digital Business,1,36
This Informatics Teaching,Informatics,1,149
This Information Security,Information Security,1,59
This Mobile Technologies,Mobile Technologies,1,2
This Numerical Methods,Numerical Methods,1,180
This Operating Systems,Operating Systems,1,110
This Software Testing,Software Testing,1,133
This Startup Management,Startup Management,1,4
This Web Programming,Web Programming,2,7
This Web Technologies,Web Technologies,1,18
To Information Systems,Information Systems,1,146
UX Design And,UX Design,1,32
UX Design In,UX Design,2,32
User Interface,User Interface Design,2,28
Using Gis Systems,GIS Infrastructure,1,1
Visualization,Data Visualization,10,179
Visualization Financial Statistics,Data Visualization Financial,1,1
Web Development So,Web Development,3,102
Web Programming In,Web Programming,1,7
Web Programming Technologies,Web Programming,1,7
Web Technologies In,Web Technologies,2,18
With Telecommunications Systems,Telecommunications,1,46
