source_url,degree_type,speciality,program_name,academic_year,component,chair_code,course_name_original,credits
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,0105,Կիրառական վիճակագրություն,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,2101,Կրոնագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1306,Հաղորդակցման հմտություններ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1308,Հոգեբանության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1602,Անգլերեն-3,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1107,Մշակութաբանության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1705,Ռուսաց լեզու-3,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,2203,Սոցիոլոգիայի հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1007,Տնտեսագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1311,Տրամաբանության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1207,Քաղաքագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1302,Բարոյագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,0604,Բնագիտության ժամանակակից հայեցակարգեր,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1005,Գործարարության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1901,Իրավունքի հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,0105,Կիրառական վիճակագրություն,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,2101,Կրոնագիտության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1306,Հաղորդակցման հմտություններ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1308,Հոգեբանության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1602,Անգլերեն-3,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1107,Մշակութաբանության հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1705,Ռուսաց լեզու-3,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,2203,Սոցիոլոգիայի հիմունքներ,2
https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Bachelor,061101.02.6 - Ինֆորմատիկա (Համակարգչային գիտություն),Informatics and Applied Mathematics,2025/2026,General educational component,1007,Տնտեսագիտության հիմունքներ,2
